item name,purpose,item source,item price,total price,qty
collar stays,holding up petals,,,,
italian crepe paper,petals,,,,
round mirror,centre of flower,,,,
fishing line,connecting petals to servo,,,,
cardboard,base for flower parts,recycled!,,,
arduino uno,board to control other components,,,,
PCA968516 channel driver,amplifying signal for servos,,,,
breadboard,connecting components,,,,
jumper wires,connecting components,,,,
HC-SR04 ultrasonic sensor,sensing whether someone is there,,,,
MG 996R servos,to move the large petals,,,,
battery case,to hold batteries,,,,
AA batteries,to power servos,,,,
,,,,0,
